id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
749;108584;Café Arabica moulu Elibio 250g;https://www.etiketbio.eu/cafe-moulu/24274-elibio-cafe-arabica-moulu-250gr-3760294960356.html;Cafe arabica moulu 250gr;3760294960356;;511;2026-08-13 08:41:30
773;108585;Ratatouille à la provençale Elibio 650g;https://www.etiketbio.eu/ratatouille-bio-en-bocal/24188-elibio-ratatouille-france-650g-3760294960134.html;Ratatouille france 650g;3760294960134;;226;2026-08-13 08:48:33
2166;108993;Chakchouka verte Prosain 400g;https://www.etiketbio.eu/plats-prepares/25226-prosain-chakchouka-verte-aux-poireaux-epinards-et-herbes-400gr-3335880007441.html;Chakchouka verte aux poireaux epinards et herbes 400gr;3335880007441;;157;2026-08-13 12:38:11
796;109128;Boisson végétale soja Elibio 1l;https://www.etiketbio.eu/boisson-au-soja/24207-elibio-boisson-soja-france-1l-3760294960912.html;Boisson soja France 1L Elibio;3760294960912;;587;2026-08-13 08:54:10
2165;109207;Chakchouka rouge Prosain 400g;https://www.etiketbio.eu/plats-prepares/25225-prosain-chakchouka-rouge-aux-tomates-poivrons-epices-400gr-3335880007434.html;Chakchouka rouge aux tomates poivrons epices 400gr;3335880007434;;188;2026-08-13 12:37:55
1334;109215;Muesli protéiné soja et chocolat Favrichon 450g;https://www.etiketbio.eu/muesli-nature/24235-favrichon-muesli-proteine-soja-et-chocolat-450gr-3111900350908.html;Muesli Protéiné Soja Chocolat Favrichon 450g;3111900350908;;829;2026-08-13 10:35:38
1331;109218;Céréales Crosti Crush au chocolat au lait Favrichon 350g;https://www.etiketbio.eu/granola-crunchy-krounchy/23980-favrichon-crosti-crush-choco-noisette-350gr-3111900330092.html;Crosti Crush choco noisettes 350g Favrichon;3111900330092;;323;2026-08-13 10:34:48
2178;109220;Sauce tomate basilic Prosain 610g;https://www.etiketbio.eu/sauce-tomate-preparee/25219-prosain-sauce-tomate-basilic-610gr-3335880005171.html;Sauce tomate basilic 610gr;3335880005171;;508;2026-08-13 12:39:53
82;109459;Coquillettes demi complètes Italie Priméal 1kg;https://www.etiketbio.eu/pate-demi-complete/22736-primeal-coquillettes-demi-completes-1kg-cc-3380380094880.html;Coquillettes demi-complètes bio 1kg Priméal;3380380094880;;730;2026-08-12 13:01:49
81;109460;Fusilli demi complet Italie Priméal 1kg;https://www.etiketbio.eu/pate-demi-complete/22737-primeal-fusilli-demi-complet-1kg-cc-3380380094897.html;Fusilli demi-complets bio 1kg Priméal;3380380094897;;561;2026-08-12 13:01:09
753;109604;Chocolat au lait 43% Elibio 100g;https://www.etiketbio.eu/chocolat-au-lait-bio/24219-elibio-tablette-chocolat-lait-42-100g-3760294961131.html;Tablette chocolat lait 42% 100g;3760294961131;;344;2026-08-13 08:44:01
795;109668;Huile de colza vierge Elibio 1l;https://www.etiketbio.eu/huile-de-colza/24278-elibio-huile-colza-vierge-france-1l-3760294960585.html;Huile de colza vierge 1L France Elibio;3760294960585;;770;2026-08-13 08:53:36
1239;110338;Miso riz Danival 390g;https://www.etiketbio.eu/miso-bio/9200-danival-miso-riz-390g-3431590000434.html;Miso riz 390g;3431590000434;;574;2026-08-13 10:14:43
748;110677;Boisson végétale épeautre, riz, noisette et avoine Elibio 1l;https://www.etiketbio.eu/boisson-a-l-epeautre-bio/24206-elibio-boisson-epeautre-riz-noisette-avoine-1l-cc-3760294960899.html;Boisson épeautre noisette 1L Elibio;3760294960899;;418;2026-08-13 08:41:14
1920;11076;Sauce tomate aux olives Prosain 200g;https://www.etiketbio.eu/sauce-tomate-preparee/7774-prosain-sauce-tomate-aux-olives-200g-3335880005867.html;Sauce tomate olives Prosain 200g;3335880005867;;784;2026-08-13 12:24:22
