id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1123;14952;Sarriette en feuilles Cook 20g;https://www.etiketbio.eu/herbes-aromates-bio/8944-cook-sarriettte-feuilles-20g-3417960023074.html;Sarriette feuilles bio Cook 20g;3417960023074;;708;46247,41174
380;15615;Liquide vaisselle dégraissant Menthe Ecodoo 1L;https://www.etiketbio.eu/liquide-vaisselle/7950-ecodoo-liquide-vaisselle-degraissant-eco-recharge-1l-3380380050770.html;Liquide vaisselle dégraissant 1L Ecodoo;3380380050770;;765;46246,65247
1532;16329;Farine de lentilles vertes Celnat 500g;https://www.etiketbio.eu/farines-autres/18340-celnat-farine-lentilles-vertes-500-g-3273120018324.html;Farine Lentilles Vertes Bio 500g Celnat;3273120018324;;758;46247,46442
549;16347;Vinaigre balsamique de Modène IGP Luce 50cl;https://www.etiketbio.eu/vinaigre-balsamique-bio/20098-luce-vinaigre-balsamique-modene-50cl-3329489900326.html;Vinaigre balsamique Modène 50cl bio – Luce;3329489900326;;654;46247,32733
844;16402;Tartelettes au chocolat noir Bonneterre 125g;https://www.etiketbio.eu/biscuits-au-chocolat/14001-tartelettes-au-chocolat-noir-125g-3396413710092.html;Tartelettes chocolat noir bio 125g Bonneterre;3396413710092;;787;46247,37483
7;16706;Farine de sarrasin Priméal 1kg;https://www.etiketbio.eu/farine-de-sarrasin-bio/12168-farine-de-sarrasin-france-1kg-3380390121309.html;Farine de sarrasin bio Priméal 1kg;3380390121309;;781;46246,53696
1816;16769;Jus d'orange carotte citron Vitamont 75cl;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7288-vitamont-jus-orange-carotte-citron-75cl-3289196500045.html;Jus orange carotte citron Vitamont 75cl;3289196500045;;738;46247,50485
1923;17327;Ratatouille à la catalane Prosain 1kg;https://www.etiketbio.eu/ratatouille-bio-en-bocal/16606-prosain-ratatouille-a-la-catalane-1kg-3335880006048.html;Ratatouille a la catalane 1kg;3335880006048;;732;46247,5181
573;17430;Passata basilic Luce 680g;https://www.etiketbio.eu/sauce-tomate-nature/22756-luce-passata-basilic-680g-3329489901545.html;Passata basilic bio Luce 680g;3329489901545;;741;46247,33023
791;17603;Chocolat noir fourré praliné Bonneterre 100g;https://www.etiketbio.eu/chocolat-noir-bio/8745-bonneterre-chocolat-noir-fourre-praline-100g-3396413714410.html;Chocolat noir fourre praline 100g;3396413714410;;714;46247,36987
994;17912;Speculoos Bisson 175g;https://www.etiketbio.eu/biscuit-nature/10403-bisson-speculoos-175g-3760005450336.html;Spéculoos bio Bisson 175g;3760005450336;;685;46247,39237
1078;18002;Estragon en feuilles  Cook 15g;https://www.etiketbio.eu/herbes-aromates-bio/8905-cook-estragon-feuilles-15g-3417960022664.html;Estragon feuilles bio Cook 15g;3417960022664;;705;46247,40605
1119;18015;Mélange Chili Cook 35g;https://www.etiketbio.eu/melanges-epices-bio/8961-cook-melange-pour-chili-35g-3417960031925.html;Mélange chili bio Cook 35g;3417960031925;;733;46247,41145
620;18065;Argile verte concassée Argiletz 1kg;https://www.etiketbio.eu/argile-verte/7528-argiletz-argile-verte-concassee-1kg-3326100000014.html;Argile verte concassee 1kg;3326100000014;;682;46247,3477
1851;18230;Mini pur jus d'ananas Vitamont 25cl;https://www.etiketbio.eu/jus-de-fruits/7279-vitamont-mini-pur-jus-dananas-25cl-3289196470034.html;Mini pur jus d'ananas 25cl;3289196470034;;706;46247,50801
2245;18265;Rooibos Citron Gingembre Thés de la Pagode 100G;https://www.etiketbio.eu/rooibos-bio/27767-rooibos-citron-gingembre-100g-3363790701005.html;Rooibos Citron Gingembre Les Thés de la Pagode;3363790701005;;790;46247,53897
574;18321;Sauce tomate au basilic Luce 340g;https://www.etiketbio.eu/sauce-tomate-preparee/22763-luce-sauce-tomate-basilic-340g-3329489901668.html;Sauce tomate basilic Luce 340g;3329489901668;;794;46247,33043
1544;18407;Fleur de shampooing Anti-Pelliculaire Douce Nature;https://www.etiketbio.eu/shampoing-solide-bio/8018-douce-nature-fleur-de-shampooing-anti-pelliculaire-85g-3380380059773.html;Fleur shampooing anti-pelliculaire 85g – Douce Nature;3380380059773;;798;46247,49336
23;18777;Couscous multicéréales Priméal 300g;https://www.etiketbio.eu/couscous-bio/7956-primeal-couscous-multicereales-300g-3380380052163.html;Couscous multicereales 300g;3380380052163;;653;46246,53817
14;18778;Couscous aux fleurs Priméal 300g;https://www.etiketbio.eu/couscous-bio/8031-primeal-couscous-aux-fleurs-300g-3380380060816.html;Couscous aux fleurs 300g;3380380060816;;686;46246,53771
606;19099;Infusion Classic chai Yogi Tea 90g;https://www.etiketbio.eu/ayurvedique-bio/14257-yogi-tea-yogi-tea-classic-vrac-90g-4012824529267.html;Yogi Tea Classic Chai vrac 90g;4012824529267;;651;46247,34047
1514;19295;Graines à germer haricot mungo Germline 200g;https://www.etiketbio.eu/graines-a-germer/17546-germline-soja-vert-mungo-a-germer-200g-3465511130207.html;Haricot mungo à germer bio 200g - Germline;3465511130207;;735;46247,46025
619;19408;Argile verte concassée Argiletz 1kg;https://www.etiketbio.eu/argile-verte/7528-argiletz-argile-verte-concassee-1kg-3326100000014.html;Argile verte concassee 1kg;3326100000014;;682;46247,34762
1134;19531;Mélange guacamole Cook 45g;https://www.etiketbio.eu/melanges-epices-bio/8972-cook-melange-guacamole-45g-3417960033523.html;Mélange guacamole bio Cook 45g;3417960033523;;743;46247,41344
1124;19532;Mélange italien Cook 28g;https://www.etiketbio.eu/melanges-epices-bio/8974-cook-melange-italien-28g-3417960033547.html;Mélange italien bio Cook 28g;3417960033547;;738;46247,41184
1064;19533;Ail des Ours Cook 16g;https://www.etiketbio.eu/herbes-aromates-bio/8975-cook-ail-des-ours-16g-3417960033554.html;Ail des ours 16g;3417960033554;;692;46247,40499
1041;19536;Nigelle en graines  Cook 50g;https://www.etiketbio.eu/epices-en-graines-bio/8968-cook-nigelle-graine-50g-3417960032090.html;Nigelle graines bio Cook 50g;3417960032090;;698;46247,40284
