id,Nb_colonnes_modifiees,Colonnes_modifiees,code_interne,code_interne_Base1,code_interne_Differe,ean,ean_Base1,ean_Differe,description,description_Base1,description_Differe,marque,marque_Base1,marque_Differe,volume,volume_Base1,volume_Differe,lien_fiche,lien_fiche_Base1,lien_fiche_Differe,caracteristique,caracteristique_Base1,caracteristique_Differe,url_img,url_img_Base1,url_img_Differe,categorie_id,categorie_id_Base1,categorie_id_Differe,ean_valide,ean_valide_Base1,ean_valide_Differe,date_validation,date_validation_Base1,date_validation_Differe
7825,1,ean,77549,77549,NON,3380390900706,,OUI,Savon de Marseille vert Douce Nature 300g,Savon de Marseille vert Douce Nature 300g,NON,Douce Nature,Douce Nature,NON,300g,300g,NON,https://eau-vive.com/magasin-bio/produit/savon-de-marseille-vert-douce-nature-300g_77549,https://eau-vive.com/magasin-bio/produit/savon-de-marseille-vert-douce-nature-300g_77549,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/7b/e8/b255a1e65abaa7e40666f0cc1c38.jpg,https://api.eau-vive.com/media/cache/drive_card_list/7b/e8/b255a1e65abaa7e40666f0cc1c38.jpg,NON,8.0,8.0,NON,0,0,NON,,,NON
7859,1,ean,113007,113007,NON,,3760349311003,OUI,Déodorant solide abricot fleur de cerisier Comme Avant 60g,Déodorant solide abricot fleur de cerisier Comme Avant 60g,NON,Comme Avant,Comme Avant,NON,60g,60g,NON,https://eau-vive.com/magasin-bio/produit/deodorant-solide-abricot-fleur-de-cerisier-comme-avant-60g_113007,https://eau-vive.com/magasin-bio/produit/deodorant-solide-abricot-fleur-de-cerisier-comme-avant-60g_113007,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7860,1,ean,106133,106133,NON,,3760349310235,OUI,Déodorant solide citron et bergamote Comme Avant 60g,Déodorant solide citron et bergamote Comme Avant 60g,NON,Comme Avant,Comme Avant,NON,60g,60g,NON,https://eau-vive.com/magasin-bio/produit/deodorant-solide-citron-et-bergamote-comme-avant-60g_106133,https://eau-vive.com/magasin-bio/produit/deodorant-solide-citron-et-bergamote-comme-avant-60g_106133,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7879,1,ean,100739,100739,NON,3760211483838,,OUI,Spray solaire famille SPF50+ Laboratoires de Biarritz 15CL,Spray solaire famille SPF50+ Laboratoires de Biarritz 15CL,NON,Laboratoires de Biarritz,Laboratoires de Biarritz,NON,231.93€ / Unité,231.93€ / Unité,NON,https://eau-vive.com/magasin-bio/produit/spray-solaire-famille-spf50-laboratoires-de-biarritz-15cl_100739,https://eau-vive.com/magasin-bio/produit/spray-solaire-famille-spf50-laboratoires-de-biarritz-15cl_100739,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/f3/6a/ce23119dd06844abb13269f1e978.jpg,https://api.eau-vive.com/media/cache/drive_card_list/f3/6a/ce23119dd06844abb13269f1e978.jpg,NON,8.0,8.0,NON,0,0,NON,,,NON
7893,1,ean,106391,106391,NON,,3760349310129,OUI,Shampoing solide huile de noisette Comme Avant 70g,Shampoing solide huile de noisette Comme Avant 70g,NON,Comme Avant,Comme Avant,NON,70g,70g,NON,https://eau-vive.com/magasin-bio/produit/shampoing-solide-huile-de-noisette-comme-avant-70g_106391,https://eau-vive.com/magasin-bio/produit/shampoing-solide-huile-de-noisette-comme-avant-70g_106391,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7894,1,ean,116543,116543,NON,,3760349450603,OUI,Shampoing nourrissant à diluer Pimpant 30g,Shampoing nourrissant à diluer Pimpant 30g,NON,Pimpant,Pimpant,NON,30g,30g,NON,https://eau-vive.com/magasin-bio/produit/shampoing-nourrissant-a-diluer-pimpant-30g_116543,https://eau-vive.com/magasin-bio/produit/shampoing-nourrissant-a-diluer-pimpant-30g_116543,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7895,1,ean,123363,123363,NON,,3760349454717,OUI,Kit découverte shampoing nourrissant Pimpant 30g,Kit découverte shampoing nourrissant Pimpant 30g,NON,Pimpant,Pimpant,NON,30g,30g,NON,https://eau-vive.com/magasin-bio/produit/kit-decouverte-shampoing-nourrissant-pimpant-30g_123363,https://eau-vive.com/magasin-bio/produit/kit-decouverte-shampoing-nourrissant-pimpant-30g_123363,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7966,2,"ean, volume",123341,123341,NON,,3701761500569,OUI,Crème de nuit anti-âge collagène Endro 50ml,Crème de nuit anti-âge collagène Endro 50ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/creme-de-nuit-anti-age-collagene-endro-50ml_123341,https://eau-vive.com/magasin-bio/produit/creme-de-nuit-anti-age-collagene-endro-50ml_123341,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
7970,2,"ean, volume",123336,123336,NON,,3701761500408,OUI,Soin ciblés stop boutons routine purifiante Endro 10ml,Soin ciblés stop boutons routine purifiante Endro 10ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/soin-cibles-stop-boutons-routine-purifiante-endro-10ml_123336,https://eau-vive.com/magasin-bio/produit/soin-cibles-stop-boutons-routine-purifiante-endro-10ml_123336,NON,,,NON,https://api.eau-vive.com/media/cache/drive_card_list/cc/77/920d8934bca837745a1c369076fe.jpg,https://api.eau-vive.com/media/cache/drive_card_list/cc/77/920d8934bca837745a1c369076fe.jpg,NON,8.0,8.0,NON,0,0,NON,,,NON
7971,2,"ean, volume",123352,123352,NON,,3760341009359,OUI,Sérum purifiant routine purifiante Endro 30ml,Sérum purifiant routine purifiante Endro 30ml,NON,Endro,Endro,NON,100L,,OUI,https://eau-vive.com/magasin-bio/produit/serum-purifiant-routine-purifiante-endro-30ml_123352,https://eau-vive.com/magasin-bio/produit/serum-purifiant-routine-purifiante-endro-30ml_123352,NON,,,NON,,,NON,8.0,8.0,NON,0,0,NON,,,NON
